plnr,studieprogram,campus,år,termin
68235,HMA,Bergen,2024,Vår
68235,MSFH,Førde,2021,Høst
68247,MPUV,Bergen,2024,Vår
68324,KFK-UTE,Bergen,2024,Høst
68556,MADL,Førde,2023,Høst
68966,BBLD,Sogndal,2023,Høst
69121,MSFH,Førde,2023,Høst
69211,VTPHR,Førde,2024,Høst
69270,PPUYRKD,Sogndal,2024,Høst
69404,MADL,Førde,2023,Høst
69634,HVF,Bergen,2024,Høst
69832,MPUV,Bergen,2022,Vår
70028,MPUV,Bergen,2023,Vår
70115,BSYK,Førde,2024,Høst
70214,MAJOR,Bergen,2024,Høst
70263,MPUV,Bergen,2022,Vår
70447,EVUFHS,Stord,2024,Høst
70603,MKUF,Bergen,2024,Høst
70658,BBLD,Sogndal,2023,Høst
71027,KFK-NOB1-N,Bergen,2024,Høst
71101,RUTDLEI,Bergen,2024,Høst
71188,MPUV,Bergen,2024,Vår
71210,MKUF,Bergen,2022,Høst
71282,VRA,Bergen,2023,Høst
71288,RUSPA,Sogndal,2023,Høst
71405,MADL,Haugesund,2021,Høst
71407,PHDH,Bergen,2024,Vår
71469,HMA,Bergen,2024,Vår
71506,MASP,Haugesund,2023,Høst
71528,RUTDLEI,Sogndal,2023,Høst
71556,MDIP,Bergen,2021,Vår
71721,MA-KBP4,Bergen,2023,Høst
71769,HSPED,Stord,2024,Høst
71796,DPU-MA,Bergen,2024,Vår
71915,VFHAM,Bergen,2024,Høst
71935,HVF,Bergen,2024,Høst
72125,HSPED,Stord,2023,Høst
72143,EVUFHS,Haugesund,2024,Høst
72263,MSFH,Bergen,2024,Høst
72427,EVUEFLKI,Bergen,2024,Høst
72595,VFALH,Sogndal,2024,Høst
72626,YFL3,Bergen,2024,Høst
72640,TOS,Bergen,2024,Høst
72685,B-KVL,Bergen,2024,Høst
72724,O15LEL,Bergen,2024,Høst
72908,MKUF,Stord,2024,Høst
72918,MARA,Bergen,2023,Høst
72933,KFK-PFS,Bergen,2024,Høst
72992,BSYKD,Stord,2024,Høst
73108,MADL,Bergen,2022,Høst
73196,EVUFHS,Bergen,2024,Høst
73203,PSBU,Stord,2023,Høst
73232,PHDH,Bergen,2022,Høst
73595,BBLD,Sogndal,2024,Høst
73636,HSPED,Stord,2023,Høst
73697,V-COA,Bergen,2024,Høst
73771,MIDR,Sogndal,2024,Høst
73818,MA-JOR,Bergen,2023,Høst
73848,HSPED,Stord,2024,Høst
73961,MADL,Førde,2021,Høst
74052,MA-KSK,Bergen,2022,Høst
74239,KFK-ENU2-N,Bergen,2024,Høst
74249,FFRA,Bergen,2024,Høst
74466,BSYK,Haugesund,2024,Høst
74517,MADL,Haugesund,2023,Høst
74586,MPUV,Bergen,2024,Vår
74809,MASP,Førde,2023,Høst
74883,MKUF,Bergen,2022,Høst
74998,KFK-NOB1-N,Bergen,2024,Høst
74998,MADL,Bergen,2022,Høst
75132,EVUFHS,Bergen,2024,Høst
75310,MDIP,Bergen,2022,Vår
75337,HVF,Bergen,2024,Høst
75451,PSBU,Haugesund,2024,Høst
75534,MA-KBP4,Bergen,2023,Høst
75609,BVPLD,Haugesund,2021,Høst
75672,EVUFLKI,Bergen,2024,Høst
75672,MA-PHA,Bergen,2023,Høst
75894,PPUYRKD,Bergen,2023,Høst
76126,VFALH,Sogndal,2024,Høst
76146,MA-KBP4,Bergen,2023,Høst
76161,MA-KSA,Bergen,2020,Høst
76334,MAMLT,Bergen,2024,Høst
76464,MADL,Bergen,2024,Høst
76490,KFK-SPB2,Bergen,2024,Høst
76618,MADL,Haugesund,2023,Høst
76655,PSBU,Haugesund,2022,Høst
76775,MADL,Førde,2021,Høst
76811,MPUV,Bergen,2024,Vår
76825,HSPED,Stord,2024,Høst
76918,V-UVNN,Bergen,2024,Høst
76927,KFK-UTE,Bergen,2024,Høst
76952,PHD,Bergen,2021,Høst
77182,V-THO,Bergen,2024,Høst
77215,PPUYRKD,Bergen,2024,Høst
77460,PHD,Bergen,2019,Høst
77534,PHDH,Bergen,2023,Høst
77683,MASP,Førde,2024,Høst
77757,KFK-NOU2-N,Bergen,2024,Høst
77786,HVF,Bergen,2024,Høst
77853,MKUF,Bergen,2023,Høst
77911,MPUV,Bergen,2021,Vår
77918,MADL,Førde,2023,Høst
78035,VFALH,Sogndal,2024,Høst
78221,VFALH,Sogndal,2024,Høst
78393,MSFH,Bergen,2021,Høst
78410,VSFO,Stord,2024,Høst
78446,MAS-BR-DEL,Haugesund,2019,Høst
78698,BYGG,Bergen,2022,Høst
78709,ADDISCO,Bergen,2024,Høst
78971,MSFH,Haugesund,2024,Høst
79057,KK-ENGB-1,Bergen,2024,Høst
79182,B-KVL,Bergen,2024,Høst
79407,V-UVN,Bergen,2024,Høst
79500,HMA,Bergen,2024,Vår
79638,MASP,Bergen,2024,Høst
79861,PSBU,Stord,2023,Høst
79881,MSFH,Bergen,2022,Høst
79915,MPPU,Stord,2024,Høst
80131,PSBU,Bergen,2020,Høst
80140,KFK-NOU1-N,Bergen,2024,Høst
80174,MAJOR,Bergen,2024,Høst
80199,MASKA,Stord,2021,Høst
80235,VSKS,Bergen,2023,Høst
80251,HSPED,Stord,2022,Høst
80474,MA-FYS,Bergen,2024,Høst
80551,EVUFLKI,Bergen,2024,Høst
80922,PPUYRKD,Stord,2023,Høst
80947,VRA,Bergen,2023,Høst
80975,MADL,Bergen,2024,Høst
81000,PPUYRKD,Stord,2023,Høst
81150,PPUYRKD,Stord,2024,Høst
81259,MASOD,Bergen,2024,Høst
81311,EVUFHS,Bergen,2024,Høst
81535,KFK-MAU1-N,Bergen,2024,Høst
81636,MA-KSK,Bergen,2024,Høst
81787,EVUEFLKI,Bergen,2024,Høst
82228,KFK-NOU1-N,Bergen,2024,Høst
82316,EVUFLKI,Bergen,2024,Høst
82461,BSYKDES,Bergen,2023,Høst
82658,MSFH,Haugesund,2020,Høst
82859,B-KVL,Bergen,2024,Høst
82883,MA-PHA,Bergen,2022,Høst
82920,MASKA,Stord,2021,Høst
82961,VRA,Bergen,2024,Høst
83120,VFALH,Sogndal,2024,Høst
83192,KK-NATB-1,Bergen,2024,Høst
83454,VSKS,Bergen,2023,Høst
83497,MADL,Haugesund,2021,Høst
83559,EVUEFØS,Haugesund,2024,Høst
83597,KFK-SPB2,Bergen,2024,Høst
83615,INF,Bergen,2022,Høst
83684,MADL,Førde,2023,Høst
83861,MKUF,Bergen,2023,Høst
83867,B-KVL,Bergen,2024,Høst
83908,MDIP,Bergen,2022,Vår
83934,PPUYRKD,Bergen,2023,Høst
83990,VTPHR,Bergen,2024,Høst
84008,MBAKS,Bergen,2024,Høst
84017,PSHR,Haugesund,2022,Høst
84063,BVPLD,Sogndal,2023,Høst
84208,MASOD,Bergen,2024,Høst
84213,HSPED,Stord,2024,Høst
84562,MPUV,Bergen,2021,Vår
84630,KFK-NOB1-N,Bergen,2024,Høst
84682,EVUFHS,Stord,2024,Høst
84783,FFRA,Bergen,2024,Høst
84801,EVUFHS,Bergen,2024,Høst
84937,HSPED,Stord,2024,Høst
84937,PHDH,Bergen,2021,Vår
85003,MPUV,Bergen,2022,Vår
85007,EVUFLKI,Bergen,2024,Høst
85007,VSFO,Bergen,2024,Høst
85041,MSFH,Bergen,2021,Høst
85103,MADL,Bergen,2022,Høst
85116,VRA,Bergen,2023,Høst
85140,V-UVN,Bergen,2024,Høst
85562,MSFH,Bergen,2020,Høst
85562,MSFH,Bergen,2023,Høst
85628,PPUALMD,Sogndal,2024,Høst
85748,MADL,Bergen,2022,Høst
85811,PSBU,Førde,2023,Høst
85963,MASKA,Førde,2021,Høst
86100,MSFH,Førde,2022,Høst
86181,MA-KSI,Bergen,2022,Høst
86204,PPUALMD,Sogndal,2024,Høst
86246,MSFH,Bergen,2023,Høst
86456,V-UVN,Bergen,2024,Høst
86503,YFL1,Bergen,2024,Høst
86513,MAJOR,Bergen,2024,Høst
87037,LANA,Sogndal,2022,Høst
87100,KFK-NOU1-N,Bergen,2024,Høst
87108,MPUV,Bergen,2024,Vår
87212,ABLU,Sogndal,2024,Høst
87381,MASKA,Førde,2024,Høst
87487,KFK-ENB1-N,Bergen,2023,Høst
87818,NO17KR,Sogndal,2024,Høst
87844,MASKA,Førde,2022,Høst
